N	Линейный поиск	Однородный бинарный поиск	Однородный бинарный поиск с готовой таблицей
2	5,600	2,000	0,200
4	0,500	0,600	0,200
8	0,900	1,200	0,300
16	1,000	1,400	0,400
32	1,100	2,700	0,500
64	1,300	1,200	1,900
128	1,700	0,700	0,300
256	2,200	1,000	0,300
512	4,600	2,600	0,300
1024	8,600	0,800	1,500
2048	16,700	0,800	0,200
4096	32,500	0,800	0,300
8192	77,000	1,600	0,400
16384	123,100	1,200	0,300
32768	193,900	1,100	0,400
65536	529,300	2,300	0,500
131072	724,400	1,700	0,400
262144	1506,800	4,800	0,400
524288	3157,800	4,100	0,600
