N	Ахо-Карасик	Турбо-бойер-мура
1	882832,800	637490,600
2	962129,600	640393,500
3	1050955,600	643683,800
4	1146116,400	638749,600
5	1209681,800	643126,900
6	1285412,200	646093,000
7	1365960,500	638174,100
8	1479733,000	645292,700
9	1521633,000	639817,000
10	1625617,400	638108,700
11	1704773,900	636387,000
12	1801031,500	641595,000
13	1866716,400	642774,800
14	1979785,500	649209,400
15	2035103,600	636462,500
16	2119697,200	644550,800
17	2194930,300	650780,200
18	2371415,900	651214,000
19	2377346,900	644581,100
